alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
sa,235,57.1648,2.75007,51.199,55.4998,57.057,58.4437,65.3635
csa,240,1308.54,14.921,1270.23,1298.53,1310.32,1318.49,1341.85
fmi,240,1149.51,12.7067,1117.31,1141.33,1150.63,1158.19,1177.41
sa,240,57.6502,2.89852,50.0097,55.8199,57.3677,59.9499,63.5996
csa,245,1334.88,16.6217,1294.81,1324.09,1336.35,1345.57,1370.98
fmi,245,1170.58,13.9522,1136.26,1161.34,1170.34,1179.46,1197.53
sa,245,58.3832,2.74794,53.0929,56.4518,57.9206,60.3986,65.4596
csa,250,1362.31,15.511,1323.59,1353.59,1360.05,1373.61,1392.55
fmi,250,1194.19,12.7864,1172.76,1185.83,1192.67,1201.49,1221.32
sa,250,59.2454,2.81397,50.8534,57.0269,59.5301,61.3656,64.5108
