alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
fmi,215,1.04352e+06,11459.3,1.01146e+06,1.03836e+06,1.04465e+06,1.05259e+06,1.06196e+06
sa,215,54321.8,0,48888.8,52192.8,54372.4,55701.7,59878
csa,220,1.21274e+06,12158,1.18266e+06,1.20602e+06,1.2148e+06,1.22161e+06,1.23641e+06
fmi,220,1.06941e+06,10351.2,1.04406e+06,1.06347e+06,1.07097e+06,1.07524e+06,1.09324e+06
sa,220,55447,0,50441.5,53761.6,55025,57054.7,61380.4
csa,225,1.24402e+06,14874.7,1.20115e+06,1.2333e+06,1.24226e+06,1.25545e+06,1.28183e+06
fmi,225,1.09395e+06,12149.5,1.06376e+06,1.08573e+06,1.09436e+06,1.10349e+06,1.12519e+06
sa,225,55167.2,0,49516,53173.9,54712.9,57412.3,61673.4
csa,230,1.26749e+06,13395.8,1.22958e+06,1.25704e+06,1.2688e+06,1.27828e+06,1.29215e+06
fmi,230,1.11545e+06,11054.9,1.09559e+06,1.10822e+06,1.1144e+06,1.1234e+06,1.14376e+06
sa,230,56306.3,0,51740.2,54435,56308.8,57870.4,61868
csa,235,1.29482e+06,13609.5,1.2655e+06,1.28695e+06,1.29296e+06,1.30441e+06,1.32629e+06
fmi,235,1.13915e+06,11009.1,1.11882e+06,1.13127e+06,1.14025e+06,1.1456e+06,1.16789e+06
sa,235,57255.8,0,51842.6,55441,57080.9,58773.7,64231.3
csa,240,1.32179e+06,14164,1.28885e+06,1.31433e+06,1.32148e+06,1.32977e+06,1.36015e+06
fmi,240,1.16364e+06,11514.3,1.13748e+06,1.15585e+06,1.16267e+06,1.17146e+06,1.19218e+06
sa,240,57376.3,0,51653.7,55335.5,57338.5,58886.2,63665.7
csa,245,1.35321e+06,14149.5,1.31884e+06,1.34409e+06,1.35281e+06,1.36347e+06,1.38518e+06
fmi,245,1.19e+06,12647.3,1.15773e+06,1.18096e+06,1.18903e+06,1.19777e+06,1.23166e+06
sa,245,57852.9,0,51157.7,56427.4,57535.8,59426.8,64406.5
csa,250,1.37826e+06,14605.1,1.34405e+06,1.37048e+06,1.37868e+06,1.38673e+06,1.40795e+06
fmi,250,1.21283e+06,12129.9,1.17949e+06,1.20955e+06,1.21475e+06,1.21949e+06,1.23757e+06
sa,250,59183.8,0,51973.1,57594.7,59210.9,61238.8,65114.2
