alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,60,271651,2286.2,266419,269918,271679,273198,276482
fmi,60,272007,3599.94,262982,269574,272707,274732,280388
sa,60,27578.3,0,24976,26935.1,27655.8,28210,29976.3
csa,65,293589,2486.81,286963,292295,293488,295168,298267
fmi,65,293976,3478.05,287156,291899,293466,295938,303714
sa,65,27905.6,0,26101.4,27171.1,27885,28504.9,30014.3
csa,70,315513,2561.26,310363,313528,315409,317449,323301
fmi,70,315817,4479.63,303025,312286,315933,319310,326074
sa,70,28893.4,0,26932.1,28119.5,28880.7,29607.9,31175.1
csa,75,337310,2688.08,331367,335747,337214,339224,345059
fmi,75,336942,4471.68,325246,334513,336585,339432,348694
sa,75,29390.8,0,25916.7,28739.4,29198.2,29952.6,32264.8
csa,80,359139,2673.04,352678,357564,359135,361157,364388
fmi,80,359612,5018.05,347471,355961,359833,362738,370546
sa,80,30291.3,0,27733.5,29389.8,30114.2,31168.4,33100.1
csa,85,381233,2876.46,375361,378997,380900,383360,388913
fmi,85,382985,4821.67,372083,380279,383224,386852,392114
sa,85,30572.1,0,28411,29699.4,30684.6,31376.1,32693.9
csa,90,403186,2717.09,396836,401006,403224,404980,410106
fmi,90,404379,5543.04,391015,400529,404912,409195,416673
sa,90,31281.2,0,29524.4,30417.5,31281.8,32045.5,34327
csa,95,424599,3382.74,412795,422610,424318,427297,431587
fmi,95,423983,6392,402127,420352,424373,427753,440683
sa,95,31966.8,0,29042.3,31047.6,31804.2,32785.4,38538.6
csa,100,445646,3664.5,435810,443393,445702,448311,452855
fmi,100,441647,6321.47,426757,437528,441556,446290,464848
sa,100,32478.2,0,29630.8,31751.4,32481.6,33255,35608.3
csa,105,467374,3603.09,458233,465126,467613,470254,473993
fmi,105,463683,6181.19,451933,459140,462562,468337,478304
sa,105,33109.2,0,30157.8,32207.4,33131.5,33826.7,36110.2
csa,110,489360,3292.92,480617,487696,489333,491510,495664
